1	74	1.585000e+02	1.795000e+02	1.585000e+02	1000	
2	64	1.565000e+02	1.605000e+02	1.565000e+02	1000	
3	107	1.635000e+02	1.635000e+02	1.635000e+02	209	
4	280	223	259	221	936	
5	1	166	166	166	1000	
6	363	191	228	191	990	
7	1034	3.425000e+02	3.425000e+02	3.045000e+02	226	
8	47	146	1.645000e+02	1.455000e+02	1000	
9	470	235	2.635000e+02	219	1000	
10	163	160	1.855000e+02	1.545000e+02	1000	
11	4.605000e+02	174	174	1.605000e+02	1000	
12	1	1.045000e+02	121	1.045000e+02	1000	
13	47	1.695000e+02	1.695000e+02	1.655000e+02	1000	
14	213	1.715000e+02	190	167	1000	
15	1057	410	410	241	194	
16	667	211	2.115000e+02	2.095000e+02	1000	
17	88	1.785000e+02	201	1.475000e+02	1000	
18	1	1.785000e+02	1.785000e+02	1.785000e+02	1000	
19	325	1.685000e+02	170	166	1000	
20	9.625000e+02	254	273	226	1000	
21	501	217	2.175000e+02	215	1000	
22	241	1.935000e+02	201	192	1000	
23	1	167	167	167	1000	
24	1	1.475000e+02	1.785000e+02	1.475000e+02	1000	
25	318	222	234	1.965000e+02	1000	
26	301	2.085000e+02	2.085000e+02	207	133	
27	311	220	2.225000e+02	207	1000	
28	1	1.395000e+02	1.395000e+02	1.395000e+02	1000	
29	179	178	179	175	1000	
30	117	213	218	213	1000	
31	648	278	278	278	1000	
32	188	1.725000e+02	1.755000e+02	1.715000e+02	1000	
33	1	1.085000e+02	1.525000e+02	1.085000e+02	1000	
34	172	2.085000e+02	2.095000e+02	2.085000e+02	1000	
35	1	134	134	134	1000	
36	1016	404	4.125000e+02	229	1000	
37	401	220	2.225000e+02	2.165000e+02	1000	
38	1	1.855000e+02	1.855000e+02	1.855000e+02	1000	
39	1	118	118	118	1000	
40	1	1.505000e+02	1.505000e+02	1.505000e+02	1000	
41	534	200	2.025000e+02	200	1000	
42	165	231	231	227	1000	
43	243	203	2.065000e+02	202	1000	
44	54	1.435000e+02	1.535000e+02	1.435000e+02	649	
45	1	115	115	115	1000	
46	1	1.475000e+02	1.475000e+02	1.475000e+02	1000	
47	1	1.425000e+02	1.425000e+02	1.425000e+02	1000	
48	72	154	167	154	1000	
