item sound pos
63 SLC 2
45 SLC 4
72 SLC 3
79 SLC 2
65 SLC 4
70 SLC 5
58 SLC 5
54 SLC 5
44 SLC 3
80 SLC 3
64 SLC 3
69 SLC 4
57 SLC 4
62 SLC 5
71 SLC 2
52 SLC 3
78 SLC 5
43 SLC 2
55 SLC 2
50 SLC 5
75 SLC 2
56 SLC 3
77 SLC 4
49 SLC 4
51 SLC 2
74 SLC 5
42 SLC 5
76 SLC 3
68 SLC 3
60 SLC 3
47 SLC 2
41 SLC 4
73 SLC 4
48 SLC 3
61 SLC 4
53 SLC 4
67 SLC 2
59 SLC 2
46 SLC 5
66 SLC 5
81 STD 4
82 STD 5
83 STD 2
35 DEV 2
115 STD 2
94 STD 5
118 STD 5
120 STD 3
32 DEV 3
22 DEV 5
33 DEV 4
105 STD 4
16 DEV 3
19 DEV 2
34 DEV 5
28 DEV 3
21 DEV 4
24 DEV 3
14 DEV 5
114 STD 5
11 DEV 2
8 DEV 3
40 DEV 3
119 STD 2
38 DEV 5
29 DEV 4
103 STD 2
106 STD 5
111 STD 2
117 STD 4
12 DEV 3
112 STD 3
93 STD 4
87 STD 2
39 DEV 2
96 STD 3
113 STD 4
18 DEV 5
4 DEV 3
95 STD 2
86 STD 5
89 STD 4
84 STD 3
6 DEV 5
108 STD 3
15 DEV 2
17 DEV 4
23 DEV 2
98 STD 5
7 DEV 2
27 DEV 2
110 STD 5
13 DEV 4
1 DEV 4
36 DEV 3
97 STD 4
101 STD 4
5 DEV 4
90 STD 5
92 STD 3
9 DEV 4
25 DEV 4
109 STD 4
20 DEV 3
3 DEV 2
30 DEV 5
85 STD 4
102 STD 5
100 STD 3
104 STD 3
31 DEV 2
99 STD 2
2 DEV 5
91 STD 2
88 STD 3
10 DEV 5
37 DEV 4
26 DEV 5
116 STD 3
107 STD 2
