item sound pos
105 SLC 3
117 SLC 3
113 SLC 3
111 SLC 5
87 SLC 5
99 SLC 5
82 SLC 4
91 SLC 5
84 SLC 2
115 SLC 5
88 SLC 2
104 SLC 2
119 SLC 5
112 SLC 2
83 SLC 5
108 SLC 2
107 SLC 5
116 SLC 2
96 SLC 2
94 SLC 4
93 SLC 3
86 SLC 4
100 SLC 2
95 SLC 5
90 SLC 4
101 SLC 3
97 SLC 3
102 SLC 4
110 SLC 4
114 SLC 4
118 SLC 4
120 SLC 2
106 SLC 4
98 SLC 4
92 SLC 2
85 SLC 3
109 SLC 3
89 SLC 3
81 SLC 3
103 SLC 5
1 STD 3
2 STD 4
3 STD 5
16 STD 2
66 DEV 4
35 STD 5
53 DEV 3
29 STD 3
78 DEV 4
13 STD 3
67 DEV 5
55 DEV 5
79 DEV 5
10 STD 4
9 STD 3
22 STD 4
36 STD 2
41 DEV 3
34 STD 4
14 STD 4
64 DEV 2
57 DEV 3
8 STD 2
30 STD 4
54 DEV 4
18 STD 4
61 DEV 3
27 STD 5
60 DEV 2
38 STD 4
4 STD 2
28 STD 2
20 STD 2
73 DEV 3
42 DEV 4
21 STD 3
49 DEV 3
63 DEV 5
12 STD 2
47 DEV 5
52 DEV 2
70 DEV 4
72 DEV 2
5 STD 3
25 STD 3
45 DEV 3
24 STD 2
76 DEV 2
80 DEV 2
62 DEV 4
75 DEV 5
39 STD 5
11 STD 5
26 STD 4
6 STD 4
58 DEV 4
48 DEV 2
43 DEV 5
56 DEV 2
65 DEV 3
7 STD 5
15 STD 5
33 STD 3
77 DEV 3
23 STD 5
51 DEV 5
50 DEV 4
69 DEV 3
59 DEV 5
32 STD 2
46 DEV 4
44 DEV 2
19 STD 5
37 STD 3
74 DEV 4
40 STD 2
31 STD 5
17 STD 3
68 DEV 2
71 DEV 5
