item sound pos
41 STD 5
42 STD 2
43 STD 3
85 DEV 5
61 STD 5
56 STD 4
106 DEV 2
63 STD 3
96 DEV 4
105 DEV 5
50 STD 2
92 DEV 4
60 STD 4
51 STD 3
65 STD 5
109 DEV 5
55 STD 3
79 STD 3
97 DEV 5
64 STD 4
98 DEV 2
110 DEV 2
83 DEV 3
76 STD 4
115 DEV 3
111 DEV 3
69 STD 5
53 STD 5
120 DEV 4
72 STD 4
94 DEV 2
44 STD 4
84 DEV 4
70 STD 2
108 DEV 4
107 DEV 3
102 DEV 2
81 DEV 5
103 DEV 3
86 DEV 2
54 STD 2
88 DEV 4
68 STD 4
78 STD 2
87 DEV 3
62 STD 2
116 DEV 4
82 DEV 2
66 STD 2
113 DEV 5
99 DEV 3
119 DEV 3
101 DEV 5
100 DEV 4
59 STD 3
89 DEV 5
91 DEV 3
71 STD 3
93 DEV 5
47 STD 3
48 STD 4
114 DEV 2
104 DEV 4
77 STD 5
57 STD 5
117 DEV 5
73 STD 5
46 STD 2
90 DEV 2
45 STD 5
49 STD 5
52 STD 4
75 STD 3
80 STD 4
67 STD 3
58 STD 2
95 DEV 3
74 STD 2
118 DEV 2
112 DEV 4
34 SLC 2
10 SLC 2
16 SLC 4
4 SLC 4
21 SLC 5
22 SLC 2
25 SLC 5
36 SLC 4
13 SLC 5
23 SLC 3
15 SLC 3
33 SLC 5
2 SLC 2
11 SLC 3
32 SLC 4
35 SLC 3
18 SLC 2
3 SLC 3
29 SLC 5
9 SLC 5
14 SLC 2
8 SLC 4
12 SLC 4
39 SLC 3
20 SLC 4
40 SLC 4
17 SLC 5
30 SLC 2
38 SLC 2
27 SLC 3
6 SLC 2
7 SLC 3
28 SLC 4
19 SLC 3
37 SLC 5
24 SLC 4
26 SLC 2
31 SLC 3
1 SLC 5
5 SLC 5
