item sound pos
30 SLC 5
9 SLC 4
13 SLC 4
28 SLC 3
23 SLC 2
36 SLC 3
33 SLC 4
11 SLC 2
5 SLC 4
14 SLC 5
22 SLC 5
40 SLC 3
7 SLC 2
8 SLC 3
32 SLC 3
21 SLC 4
10 SLC 5
26 SLC 5
29 SLC 4
38 SLC 5
35 SLC 2
18 SLC 5
2 SLC 5
24 SLC 3
19 SLC 2
6 SLC 5
15 SLC 2
27 SLC 2
20 SLC 3
1 SLC 4
31 SLC 2
12 SLC 3
39 SLC 2
17 SLC 4
16 SLC 3
25 SLC 4
4 SLC 3
37 SLC 4
34 SLC 5
3 SLC 2
41 STD 4
42 STD 5
43 STD 2
48 STD 3
73 STD 4
105 DEV 4
64 STD 3
89 DEV 4
69 STD 4
75 STD 2
110 DEV 5
88 DEV 3
108 DEV 3
78 STD 5
55 STD 2
77 STD 4
51 STD 2
50 STD 5
45 STD 4
71 STD 2
99 DEV 2
79 STD 2
115 DEV 2
84 DEV 3
70 STD 5
101 DEV 4
114 DEV 5
116 DEV 3
58 STD 5
90 DEV 5
120 DEV 3
96 DEV 3
81 DEV 4
61 STD 4
112 DEV 3
97 DEV 4
102 DEV 5
74 STD 5
91 DEV 2
54 STD 5
66 STD 5
46 STD 5
118 DEV 5
63 STD 2
44 STD 3
52 STD 3
47 STD 2
62 STD 5
68 STD 3
56 STD 3
103 DEV 2
113 DEV 4
76 STD 3
106 DEV 5
49 STD 4
119 DEV 2
93 DEV 4
95 DEV 2
80 STD 3
92 DEV 3
100 DEV 3
65 STD 4
67 STD 2
72 STD 3
109 DEV 4
60 STD 3
117 DEV 4
53 STD 4
86 DEV 5
87 DEV 2
94 DEV 5
85 DEV 4
104 DEV 3
111 DEV 2
57 STD 4
83 DEV 2
98 DEV 5
59 STD 2
82 DEV 5
107 DEV 2
