item sound pos
81 STD 5
82 STD 2
83 STD 3
24 DEV 4
36 DEV 4
84 STD 4
40 DEV 4
3 DEV 3
120 STD 4
119 STD 3
38 DEV 2
2 DEV 2
21 DEV 5
20 DEV 4
32 DEV 4
112 STD 4
27 DEV 3
16 DEV 4
92 STD 4
94 STD 2
116 STD 4
89 STD 5
104 STD 4
95 STD 3
8 DEV 4
90 STD 2
11 DEV 3
106 STD 2
105 STD 5
111 STD 3
35 DEV 3
33 DEV 5
30 DEV 2
100 STD 4
97 STD 5
117 STD 5
115 STD 3
5 DEV 5
114 STD 2
86 STD 2
99 STD 3
107 STD 3
14 DEV 2
23 DEV 3
19 DEV 3
108 STD 4
87 STD 3
110 STD 2
10 DEV 2
103 STD 3
22 DEV 2
15 DEV 3
18 DEV 2
9 DEV 5
7 DEV 3
39 DEV 3
96 STD 4
1 DEV 5
25 DEV 5
28 DEV 4
6 DEV 2
17 DEV 5
109 STD 5
31 DEV 3
85 STD 5
98 STD 2
93 STD 5
34 DEV 2
88 STD 4
102 STD 2
4 DEV 4
29 DEV 5
101 STD 5
37 DEV 5
13 DEV 5
118 STD 2
91 STD 3
26 DEV 2
113 STD 5
12 DEV 4
69 SLC 5
77 SLC 5
57 SLC 5
80 SLC 4
64 SLC 4
44 SLC 4
52 SLC 4
75 SLC 3
55 SLC 3
46 SLC 2
47 SLC 3
51 SLC 3
68 SLC 4
53 SLC 5
48 SLC 4
43 SLC 3
63 SLC 3
54 SLC 2
74 SLC 2
59 SLC 3
70 SLC 2
41 SLC 5
76 SLC 4
78 SLC 2
58 SLC 2
71 SLC 3
65 SLC 5
56 SLC 4
60 SLC 4
62 SLC 2
45 SLC 5
73 SLC 5
42 SLC 2
67 SLC 3
50 SLC 2
79 SLC 3
72 SLC 4
49 SLC 5
66 SLC 2
61 SLC 5
