item sound pos
1 SLC 2
14 SLC 3
30 SLC 3
19 SLC 4
8 SLC 5
26 SLC 3
27 SLC 4
5 SLC 2
37 SLC 2
36 SLC 5
13 SLC 2
38 SLC 3
18 SLC 3
12 SLC 5
29 SLC 2
10 SLC 3
11 SLC 4
25 SLC 2
2 SLC 3
6 SLC 3
40 SLC 5
22 SLC 3
16 SLC 5
17 SLC 2
20 SLC 5
39 SLC 4
3 SLC 4
31 SLC 4
28 SLC 5
24 SLC 5
4 SLC 5
34 SLC 3
35 SLC 4
7 SLC 4
9 SLC 2
33 SLC 2
23 SLC 4
15 SLC 4
32 SLC 5
21 SLC 2
41 STD 2
42 STD 3
43 STD 4
65 STD 2
54 STD 3
73 STD 2
98 DEV 3
44 STD 5
75 STD 4
45 STD 2
56 STD 5
99 DEV 4
71 STD 4
110 DEV 3
57 STD 2
82 DEV 3
88 DEV 5
74 STD 3
50 STD 3
55 STD 4
97 DEV 2
86 DEV 3
59 STD 4
62 STD 3
101 DEV 2
115 DEV 4
70 STD 3
72 STD 5
109 DEV 2
94 DEV 3
113 DEV 2
91 DEV 4
105 DEV 2
66 STD 3
48 STD 5
96 DEV 5
84 DEV 5
104 DEV 5
103 DEV 4
111 DEV 4
90 DEV 3
53 STD 2
116 DEV 5
112 DEV 5
78 STD 3
117 DEV 2
119 DEV 4
106 DEV 3
58 STD 3
52 STD 5
49 STD 2
81 DEV 2
47 STD 4
61 STD 2
102 DEV 3
77 STD 2
69 STD 2
79 STD 4
100 DEV 5
92 DEV 5
85 DEV 2
63 STD 4
60 STD 5
95 DEV 4
68 STD 5
83 DEV 4
87 DEV 4
76 STD 5
114 DEV 3
107 DEV 4
89 DEV 2
46 STD 3
108 DEV 5
120 DEV 5
67 STD 4
51 STD 4
93 DEV 2
80 STD 5
118 DEV 3
64 STD 5
