item sound pos
104 SLC 2
103 SLC 5
97 SLC 3
120 SLC 2
93 SLC 3
112 SLC 2
90 SLC 4
107 SLC 5
115 SLC 5
119 SLC 5
83 SLC 5
108 SLC 2
110 SLC 4
118 SLC 4
98 SLC 4
101 SLC 3
117 SLC 3
100 SLC 2
111 SLC 5
113 SLC 3
99 SLC 5
89 SLC 3
102 SLC 4
85 SLC 3
114 SLC 4
82 SLC 4
88 SLC 2
84 SLC 2
94 SLC 4
86 SLC 4
105 SLC 3
116 SLC 2
96 SLC 2
106 SLC 4
91 SLC 5
95 SLC 5
109 SLC 3
92 SLC 2
87 SLC 5
81 SLC 3
1 STD 3
2 STD 4
3 STD 5
54 DEV 4
57 DEV 3
12 STD 2
43 DEV 5
62 DEV 4
30 STD 4
34 STD 4
7 STD 5
74 DEV 4
24 STD 2
5 STD 3
21 STD 3
75 DEV 5
37 STD 3
18 STD 4
28 STD 2
32 STD 2
47 DEV 5
39 STD 5
50 DEV 4
23 STD 5
66 DEV 4
46 DEV 4
78 DEV 4
79 DEV 5
42 DEV 4
40 STD 2
6 STD 4
38 STD 4
56 DEV 2
55 DEV 5
15 STD 5
49 DEV 3
68 DEV 2
11 STD 5
77 DEV 3
70 DEV 4
8 STD 2
45 DEV 3
48 DEV 2
63 DEV 5
4 STD 2
20 STD 2
29 STD 3
27 STD 5
13 STD 3
19 STD 5
53 DEV 3
9 STD 3
10 STD 4
76 DEV 2
25 STD 3
64 DEV 2
73 DEV 3
69 DEV 3
44 DEV 2
17 STD 3
59 DEV 5
41 DEV 3
26 STD 4
58 DEV 4
80 DEV 2
33 STD 3
16 STD 2
51 DEV 5
22 STD 4
65 DEV 3
72 DEV 2
71 DEV 5
36 STD 2
35 STD 5
60 DEV 2
61 DEV 3
52 DEV 2
31 STD 5
67 DEV 5
14 STD 4
