item sound pos
58 SLC 5
66 SLC 5
78 SLC 5
55 SLC 2
53 SLC 4
48 SLC 3
43 SLC 2
56 SLC 3
45 SLC 4
70 SLC 5
47 SLC 2
60 SLC 3
65 SLC 4
77 SLC 4
71 SLC 2
74 SLC 5
67 SLC 2
69 SLC 4
73 SLC 4
49 SLC 4
50 SLC 5
51 SLC 2
46 SLC 5
61 SLC 4
41 SLC 4
63 SLC 2
44 SLC 3
68 SLC 3
59 SLC 2
62 SLC 5
76 SLC 3
72 SLC 3
52 SLC 3
54 SLC 5
80 SLC 3
64 SLC 3
57 SLC 4
75 SLC 2
79 SLC 2
42 SLC 5
81 STD 4
82 STD 5
83 STD 2
13 DEV 4
7 DEV 2
99 STD 2
21 DEV 4
102 STD 5
108 STD 3
23 DEV 2
38 DEV 5
92 STD 3
10 DEV 5
11 DEV 2
8 DEV 3
100 STD 3
110 STD 5
84 STD 3
1 DEV 4
9 DEV 4
98 STD 5
15 DEV 2
25 DEV 4
18 DEV 5
16 DEV 3
36 DEV 3
103 STD 2
19 DEV 2
12 DEV 3
29 DEV 4
120 STD 3
28 DEV 3
94 STD 5
112 STD 3
4 DEV 3
30 DEV 5
86 STD 5
119 STD 2
114 STD 5
14 DEV 5
89 STD 4
111 STD 2
33 DEV 4
101 STD 4
17 DEV 4
27 DEV 2
107 STD 2
96 STD 3
104 STD 3
88 STD 3
105 STD 4
91 STD 2
117 STD 4
95 STD 2
39 DEV 2
115 STD 2
113 STD 4
2 DEV 5
5 DEV 4
118 STD 5
24 DEV 3
90 STD 5
109 STD 4
32 DEV 3
97 STD 4
93 STD 4
87 STD 2
6 DEV 5
3 DEV 2
116 STD 3
106 STD 5
31 DEV 2
22 DEV 5
20 DEV 3
85 STD 4
35 DEV 2
37 DEV 4
26 DEV 5
40 DEV 3
34 DEV 5
