item sound pos
39 SLC 2
5 SLC 4
13 SLC 4
34 SLC 5
29 SLC 4
32 SLC 3
3 SLC 2
26 SLC 5
6 SLC 5
10 SLC 5
16 SLC 3
2 SLC 5
27 SLC 2
36 SLC 3
23 SLC 2
1 SLC 4
33 SLC 4
22 SLC 5
12 SLC 3
15 SLC 2
4 SLC 3
18 SLC 5
21 SLC 4
30 SLC 5
20 SLC 3
17 SLC 4
35 SLC 2
19 SLC 2
38 SLC 5
7 SLC 2
14 SLC 5
9 SLC 4
8 SLC 3
11 SLC 2
31 SLC 2
37 SLC 4
40 SLC 3
25 SLC 4
28 SLC 3
24 SLC 3
41 STD 4
42 STD 5
43 STD 2
93 DEV 4
87 DEV 2
52 STD 3
62 STD 5
102 DEV 5
104 DEV 3
76 STD 3
113 DEV 4
54 STD 5
45 STD 4
64 STD 3
67 STD 2
65 STD 4
60 STD 3
78 STD 5
108 DEV 3
61 STD 4
95 DEV 2
79 STD 2
84 DEV 3
106 DEV 5
89 DEV 4
46 STD 5
55 STD 2
105 DEV 4
109 DEV 4
112 DEV 3
92 DEV 3
96 DEV 3
47 STD 2
58 STD 5
59 STD 2
80 STD 3
116 DEV 3
85 DEV 4
118 DEV 5
110 DEV 5
69 STD 4
49 STD 4
117 DEV 4
103 DEV 2
88 DEV 3
56 STD 3
51 STD 2
91 DEV 2
81 DEV 4
115 DEV 2
63 STD 2
86 DEV 5
66 STD 5
48 STD 3
82 DEV 5
99 DEV 2
83 DEV 2
120 DEV 3
73 STD 4
94 DEV 5
100 DEV 3
111 DEV 2
72 STD 3
101 DEV 4
57 STD 4
68 STD 3
119 DEV 2
90 DEV 5
107 DEV 2
77 STD 4
70 STD 5
74 STD 5
53 STD 4
98 DEV 5
114 DEV 5
75 STD 2
71 STD 2
97 DEV 4
44 STD 3
50 STD 5
