item sound pos
1 STD 4
2 STD 5
3 STD 2
53 DEV 4
71 DEV 2
58 DEV 5
74 DEV 5
38 STD 5
27 STD 2
26 STD 5
47 DEV 2
52 DEV 3
24 STD 3
69 DEV 4
28 STD 3
13 STD 4
10 STD 5
21 STD 4
19 STD 2
44 DEV 3
51 DEV 2
16 STD 3
63 DEV 2
30 STD 5
14 STD 5
60 DEV 3
40 STD 3
72 DEV 3
35 STD 2
45 DEV 4
20 STD 3
46 DEV 5
59 DEV 2
73 DEV 4
6 STD 5
77 DEV 4
78 DEV 5
48 DEV 3
15 STD 2
22 STD 5
41 DEV 4
11 STD 2
50 DEV 5
9 STD 4
29 STD 4
8 STD 3
49 DEV 4
37 STD 4
4 STD 3
54 DEV 5
80 DEV 3
32 STD 3
43 DEV 2
67 DEV 2
55 DEV 2
75 DEV 2
31 STD 2
66 DEV 5
61 DEV 4
36 STD 3
42 DEV 5
68 DEV 3
17 STD 4
7 STD 2
39 STD 2
79 DEV 2
56 DEV 3
34 STD 5
12 STD 3
57 DEV 4
62 DEV 5
5 STD 4
70 DEV 5
25 STD 4
18 STD 5
65 DEV 4
33 STD 4
64 DEV 3
76 DEV 3
23 STD 2
108 SLC 3
97 SLC 4
103 SLC 2
88 SLC 3
102 SLC 5
111 SLC 2
116 SLC 3
110 SLC 5
106 SLC 5
118 SLC 5
84 SLC 3
109 SLC 4
91 SLC 2
81 SLC 4
92 SLC 3
107 SLC 2
114 SLC 5
89 SLC 4
113 SLC 4
120 SLC 3
119 SLC 2
95 SLC 2
96 SLC 3
101 SLC 4
98 SLC 5
112 SLC 3
99 SLC 2
93 SLC 4
82 SLC 5
115 SLC 2
117 SLC 4
94 SLC 5
83 SLC 2
104 SLC 3
86 SLC 5
105 SLC 4
90 SLC 5
85 SLC 4
100 SLC 3
87 SLC 2
