item sound pos
77 SLC 2
58 SLC 3
63 SLC 4
62 SLC 3
43 SLC 4
42 SLC 3
71 SLC 4
55 SLC 4
56 SLC 5
67 SLC 4
59 SLC 4
73 SLC 2
68 SLC 5
49 SLC 2
53 SLC 2
60 SLC 5
50 SLC 3
47 SLC 4
70 SLC 3
72 SLC 5
52 SLC 5
44 SLC 5
48 SLC 5
69 SLC 2
65 SLC 2
76 SLC 5
54 SLC 3
75 SLC 4
74 SLC 3
46 SLC 3
79 SLC 4
45 SLC 2
64 SLC 5
51 SLC 4
80 SLC 5
57 SLC 2
41 SLC 2
66 SLC 3
61 SLC 2
78 SLC 3
81 STD 2
82 STD 3
83 STD 4
91 STD 4
112 STD 5
20 DEV 5
29 DEV 2
8 DEV 5
96 STD 5
90 STD 3
103 STD 4
39 DEV 4
11 DEV 4
100 STD 5
87 STD 4
25 DEV 2
32 DEV 5
98 STD 3
15 DEV 4
119 STD 4
22 DEV 3
7 DEV 4
102 STD 3
36 DEV 5
16 DEV 5
2 DEV 3
106 STD 3
33 DEV 2
111 STD 4
24 DEV 5
114 STD 3
18 DEV 3
113 STD 2
115 STD 4
4 DEV 5
34 DEV 3
105 STD 2
110 STD 3
107 STD 4
27 DEV 4
3 DEV 4
94 STD 3
101 STD 2
19 DEV 4
120 STD 5
30 DEV 3
93 STD 2
1 DEV 2
35 DEV 4
31 DEV 4
92 STD 5
99 STD 4
118 STD 3
89 STD 2
9 DEV 2
84 STD 5
37 DEV 2
38 DEV 3
40 DEV 5
104 STD 5
12 DEV 5
108 STD 5
17 DEV 2
13 DEV 2
116 STD 5
117 STD 2
28 DEV 5
109 STD 2
95 STD 4
5 DEV 2
86 STD 3
26 DEV 3
85 STD 2
88 STD 5
14 DEV 3
6 DEV 3
21 DEV 2
23 DEV 4
97 STD 2
10 DEV 3
